Date ,Close 
02-09-2025,754.8
01-09-2025,748.3
29-08-2025,739.05
28-08-2025,749.45
26-08-2025,754.6
25-08-2025,772
22-08-2025,762.55
21-08-2025,773.2
20-08-2025,770.5
19-08-2025,776.1
18-08-2025,768.9
14-08-2025,751.55
13-08-2025,757.65
12-08-2025,757.4
11-08-2025,764.95
08-08-2025,747.2
07-08-2025,759.65
06-08-2025,764.5
05-08-2025,780.95
04-08-2025,792.85
01-08-2025,777.4
31-07-2025,784.25
30-07-2025,788.8
29-07-2025,800.35
28-07-2025,787.2
25-07-2025,826.3
24-07-2025,828.95
23-07-2025,841.95
22-07-2025,845.5
21-07-2025,852.6
18-07-2025,845.2
17-07-2025,847.05
16-07-2025,844.3
15-07-2025,833.5
14-07-2025,826.9
11-07-2025,815.1
10-07-2025,831.55
09-07-2025,829.65
08-07-2025,842.9
07-07-2025,832.5
04-07-2025,836
03-07-2025,829.7
02-07-2025,831.9
01-07-2025,843.45
30-06-2025,837.8
27-06-2025,845.8
26-06-2025,847.1
25-06-2025,854.35
24-06-2025,849.5
23-06-2025,852.45
20-06-2025,854.25
19-06-2025,839.9
18-06-2025,844.8
17-06-2025,851.45
16-06-2025,859
13-06-2025,851.25
12-06-2025,847.85
11-06-2025,868.55
10-06-2025,868
09-06-2025,878.6
06-06-2025,880.35
05-06-2025,825.7
04-06-2025,803.4
03-06-2025,804.55
02-06-2025,810.7
30-05-2025,797.85
29-05-2025,793.75
28-05-2025,772
27-05-2025,774.05
26-05-2025,777.8
23-05-2025,776.5
22-05-2025,775.8
21-05-2025,775.15
20-05-2025,753.5
19-05-2025,737.65
16-05-2025,715.9
15-05-2025,709.05
14-05-2025,688.7
13-05-2025,677.85
12-05-2025,680.5
09-05-2025,631.7
08-05-2025,655.05
07-05-2025,679.25
06-05-2025,677.15
05-05-2025,693.75
02-05-2025,687.05
30-04-2025,674.3
29-04-2025,658.85
28-04-2025,663.9
25-04-2025,653.55
24-04-2025,680.5
23-04-2025,687.7
22-04-2025,685
21-04-2025,675.9
17-04-2025,669.4
16-04-2025,656.25
15-04-2025,662.8
11-04-2025,623.6
09-04-2025,612.85
08-04-2025,621.55
07-04-2025,608.05
04-04-2025,653.95
03-04-2025,680.05
02-04-2025,683.15
01-04-2025,663.1
28-03-2025,680.5
27-03-2025,688.5
26-03-2025,680.45
25-03-2025,695.2
24-03-2025,706
21-03-2025,695.9
20-03-2025,694.3
19-03-2025,697.55
18-03-2025,674.8
17-03-2025,655.55
13-03-2025,658.1
12-03-2025,668.7
11-03-2025,674.1
10-03-2025,647.1
07-03-2025,667.05
06-03-2025,665.3
05-03-2025,661.35
04-03-2025,643.3
03-03-2025,647.3
28-02-2025,635.55
27-02-2025,642.4
25-02-2025,656.8
24-02-2025,673.7
21-02-2025,686.25
20-02-2025,694.9
19-02-2025,690.15
18-02-2025,672.1
17-02-2025,674.75
14-02-2025,673.3
13-02-2025,680.65
12-02-2025,680.05
11-02-2025,709.1
10-02-2025,730.95
07-02-2025,757.45
06-02-2025,764.05
05-02-2025,763.4
04-02-2025,762.2
03-02-2025,748.65
01-02-2025,760.65
31-01-2025,745.05
30-01-2025,750.05
29-01-2025,745.4
28-01-2025,726.75
27-01-2025,703.9
24-01-2025,695.25
23-01-2025,715.05
22-01-2025,713.8
21-01-2025,737.9
20-01-2025,760.6
17-01-2025,749
16-01-2025,740.85
15-01-2025,734.8
14-01-2025,723.25
13-01-2025,710.8
10-01-2025,752.15
09-01-2025,780.65
08-01-2025,802.6
07-01-2025,810.8
06-01-2025,805.85
03-01-2025,828.05
02-01-2025,835.4
01-01-2025,824.5
31-12-2024,824.9
30-12-2024,820.7
27-12-2024,834.85
26-12-2024,838.7
24-12-2024,841.7
23-12-2024,844.25
20-12-2024,830.7
19-12-2024,864.4
18-12-2024,871.45
17-12-2024,872.45
16-12-2024,893.3
13-12-2024,870.85
12-12-2024,867.1
11-12-2024,875.75
10-12-2024,868.4
09-12-2024,862.7
06-12-2024,856.85
05-12-2024,850.25
04-12-2024,847.95
03-12-2024,846.95
02-12-2024,849.1
29-11-2024,822.95
28-11-2024,813.85
27-11-2024,823.7
26-11-2024,827.35
25-11-2024,823.3
22-11-2024,803.4
21-11-2024,773.95
19-11-2024,763.15
18-11-2024,759.6
14-11-2024,762.7
13-11-2024,748.55
12-11-2024,764.85
11-11-2024,777.5
08-11-2024,786
07-11-2024,803.4
06-11-2024,828.2
05-11-2024,799.05
04-11-2024,789.9
01-11-2024,823.75
31-10-2024,819.85
30-10-2024,826.4
29-10-2024,832.45
28-10-2024,822.9
25-10-2024,777
24-10-2024,801.4
23-10-2024,805.35
22-10-2024,815.15
21-10-2024,860.75
18-10-2024,875.15
17-10-2024,861
16-10-2024,884.75
15-10-2024,875.45
14-10-2024,862.9
11-10-2024,846.6
10-10-2024,860.8
09-10-2024,851.95
08-10-2024,840
07-10-2024,825.65
04-10-2024,844.85
03-10-2024,864.85
01-10-2024,913.75
30-09-2024,895.15
27-09-2024,914.05
26-09-2024,924
25-09-2024,920.4
24-09-2024,917
23-09-2024,909.65
20-09-2024,877.6
19-09-2024,849.3
18-09-2024,860.7
17-09-2024,860.85
16-09-2024,862.1
13-09-2024,863.6
12-09-2024,835.9
11-09-2024,824
10-09-2024,829.8
09-09-2024,826.75
06-09-2024,814.25
05-09-2024,841.65
04-09-2024,850.35
03-09-2024,847.6
02-09-2024,848.25
