Date ,Close 
02-09-2025,"1,100.80"
01-09-2025,"1,075.70"
29-08-2025,"1,065.40"
28-08-2025,"1,062.40"
26-08-2025,"1,079.90"
25-08-2025,"1,081.60"
22-08-2025,"1,084.10"
21-08-2025,"1,088.10"
20-08-2025,"1,105.30"
19-08-2025,"1,085.80"
18-08-2025,"1,071.30"
14-08-2025,"1,051.20"
13-08-2025,"1,056.10"
12-08-2025,"1,046.80"
11-08-2025,"1,059.10"
08-08-2025,"1,051.00"
07-08-2025,"1,052.80"
06-08-2025,"1,052.80"
05-08-2025,"1,064.60"
04-08-2025,"1,072.60"
01-08-2025,"1,070.40"
31-07-2025,"1,073.20"
30-07-2025,"1,073.10"
29-07-2025,"1,061.60"
28-07-2025,"1,059.90"
25-07-2025,"1,054.40"
24-07-2025,"1,072.80"
23-07-2025,"1,062.60"
22-07-2025,"1,084.80"
21-07-2025,"1,090.30"
18-07-2025,"1,095.90"
17-07-2025,"1,105.80"
16-07-2025,"1,081.50"
15-07-2025,"1,081.80"
14-07-2025,"1,071.80"
11-07-2025,"1,076.80"
10-07-2025,"1,088.90"
09-07-2025,"1,097.90"
08-07-2025,"1,099.90"
07-07-2025,"1,101.90"
04-07-2025,"1,089.70"
03-07-2025,"1,089.40"
02-07-2025,"1,095.80"
01-07-2025,"1,095.60"
30-06-2025,"1,098.90"
27-06-2025,"1,124.30"
26-06-2025,"1,145.40"
25-06-2025,"1,126.50"
24-06-2025,"1,107.70"
23-06-2025,"1,109.40"
20-06-2025,"1,100.20"
19-06-2025,"1,088.30"
18-06-2025,"1,065.20"
17-06-2025,"1,071.60"
16-06-2025,"1,083.40"
13-06-2025,"1,078.40"
12-06-2025,"1,085.10"
11-06-2025,"1,104.30"
10-06-2025,"1,115.10"
09-06-2025,"1,121.20"
06-06-2025,"1,115.60"
05-06-2025,"1,111.90"
04-06-2025,"1,124.40"
03-06-2025,"1,114.60"
02-06-2025,"1,120.40"
30-05-2025,"1,106.30"
29-05-2025,"1,109.80"
28-05-2025,"1,121.40"
27-05-2025,"1,138.40"
26-05-2025,"1,146.30"
23-05-2025,"1,140.80"
22-05-2025,"1,126.70"
21-05-2025,"1,138.80"
20-05-2025,"1,128.50"
19-05-2025,"1,149.30"
16-05-2025,"1,168.00"
15-05-2025,"1,147.20"
14-05-2025,"1,120.40"
13-05-2025,"1,118.60"
12-05-2025,"1,145.60"
09-05-2025,"1,113.70"
08-05-2025,"1,116.00"
07-05-2025,"1,146.00"
06-05-2025,"1,155.30"
05-05-2025,"1,161.50"
02-05-2025,"1,156.80"
30-04-2025,"1,165.80"
29-04-2025,"1,168.90"
28-04-2025,"1,155.20"
25-04-2025,"1,155.70"
24-04-2025,"1,161.30"
23-04-2025,"1,150.10"
22-04-2025,"1,136.70"
21-04-2025,"1,121.00"
17-04-2025,"1,120.20"
16-04-2025,"1,105.90"
15-04-2025,"1,103.40"
11-04-2025,"1,097.90"
09-04-2025,"1,089.75"
08-04-2025,"1,069.75"
07-04-2025,"1,047.35"
04-04-2025,"1,087.85"
03-04-2025,"1,071.00"
02-04-2025,"1,062.70"
01-04-2025,992.25
28-03-2025,"1,001.90"
27-03-2025,973.55
26-03-2025,959.65
25-03-2025,970.7
24-03-2025,970.45
21-03-2025,961.2
20-03-2025,965.85
19-03-2025,949.85
18-03-2025,946.85
17-03-2025,940.45
13-03-2025,946.1
12-03-2025,945.45
11-03-2025,959.85
10-03-2025,957.3
07-03-2025,962.05
06-03-2025,958.15
05-03-2025,956.8
04-03-2025,954.55
03-03-2025,953.9
28-02-2025,963.7
27-02-2025,"1,008.00"
25-02-2025,"1,004.85"
24-02-2025,"1,002.40"
21-02-2025,"1,004.00"
20-02-2025,"1,008.90"
19-02-2025,"1,025.30"
18-02-2025,"1,026.95"
17-02-2025,"1,023.25"
14-02-2025,"1,022.55"
13-02-2025,"1,022.80"
12-02-2025,"1,029.75"
11-02-2025,"1,013.80"
10-02-2025,"1,027.50"
07-02-2025,"1,021.20"
06-02-2025,"1,023.35"
05-02-2025,"1,015.30"
04-02-2025,"1,034.20"
03-02-2025,"1,036.30"
01-02-2025,"1,069.85"
31-01-2025,"1,024.65"
30-01-2025,966.7
29-01-2025,960.5
28-01-2025,961.25
27-01-2025,965.8
24-01-2025,992.35
23-01-2025,983.9
22-01-2025,967.4
21-01-2025,972.1
20-01-2025,960.3
17-01-2025,954.45
16-01-2025,937.7
15-01-2025,955.55
14-01-2025,963.15
13-01-2025,965.45
10-01-2025,972.8
09-01-2025,970.1
08-01-2025,961.6
07-01-2025,955
06-01-2025,946.9
03-01-2025,939.45
02-01-2025,929.65
01-01-2025,920.3
31-12-2024,914.7
30-12-2024,903.5
27-12-2024,907.95
26-12-2024,900.95
24-12-2024,907.3
23-12-2024,902.75
20-12-2024,889.45
19-12-2024,907.1
18-12-2024,909.35
17-12-2024,904.9
16-12-2024,920.35
13-12-2024,929.7
12-12-2024,921.25
11-12-2024,935.05
10-12-2024,926.75
09-12-2024,933.95
06-12-2024,974.45
05-12-2024,966.45
04-12-2024,961.2
03-12-2024,955
02-12-2024,957
29-11-2024,958.65
28-11-2024,941.05
27-11-2024,960.05
26-11-2024,963.55
25-11-2024,955.7
22-11-2024,945.2
21-11-2024,911.7
19-11-2024,917.15
18-11-2024,930.75
14-11-2024,925
13-11-2024,952.75
12-11-2024,967.55
11-11-2024,975.95
08-11-2024,992.95
07-11-2024,984.85
06-11-2024,"1,007.05"
05-11-2024,"1,000.75"
04-11-2024,994.6
01-11-2024,"1,004.10"
31-10-2024,"1,002.55"
30-10-2024,"1,022.70"
29-10-2024,992.05
28-10-2024,975.9
25-10-2024,973.05
24-10-2024,996.45
23-10-2024,"1,014.55"
22-10-2024,998.25
21-10-2024,"1,017.05"
