Date ,Close 
02-09-2025,106.16
01-09-2025,105.14
29-08-2025,103.83
28-08-2025,104.63
26-08-2025,106.01
25-08-2025,108.82
22-08-2025,109.93
21-08-2025,111.07
20-08-2025,112.28
19-08-2025,111.67
18-08-2025,109.34
14-08-2025,109.26
13-08-2025,108.99
12-08-2025,109.55
11-08-2025,109.48
08-08-2025,107.89
07-08-2025,108.8
06-08-2025,108.77
05-08-2025,107.46
04-08-2025,107.75
01-08-2025,105.89
31-07-2025,107.25
30-07-2025,108.2
29-07-2025,110.09
28-07-2025,110.41
25-07-2025,110.76
24-07-2025,113.51
23-07-2025,107.8
22-07-2025,108.05
21-07-2025,112.03
18-07-2025,114.45
17-07-2025,115.53
16-07-2025,117.03
15-07-2025,114.87
14-07-2025,113.67
11-07-2025,111.92
10-07-2025,112.39
09-07-2025,113.96
08-07-2025,113.74
07-07-2025,114.31
04-07-2025,114.37
03-07-2025,114.16
02-07-2025,114.23
01-07-2025,115.42
30-06-2025,114.2
27-06-2025,110.98
26-06-2025,111.07
25-06-2025,110.71
24-06-2025,110.61
23-06-2025,107.82
20-06-2025,107.22
19-06-2025,104.89
18-06-2025,108.22
17-06-2025,109.23
16-06-2025,111.24
13-06-2025,111.46
12-06-2025,115.64
11-06-2025,117.09
10-06-2025,117.76
09-06-2025,117.69
06-06-2025,115.71
05-06-2025,116.38
04-06-2025,117.32
03-06-2025,115.91
02-06-2025,116.84
30-05-2025,114.76
29-05-2025,110.73
28-05-2025,110.94
27-05-2025,108.43
26-05-2025,107.48
23-05-2025,107.21
22-05-2025,106.84
21-05-2025,107.84
20-05-2025,107.04
19-05-2025,107.96
16-05-2025,107.76
15-05-2025,105.16
14-05-2025,105.67
13-05-2025,104.78
12-05-2025,100.86
09-05-2025,97.64
08-05-2025,95.37
07-05-2025,93.67
06-05-2025,92.38
05-05-2025,97.16
02-05-2025,96.85
30-04-2025,97.45
29-04-2025,99.33
28-04-2025,98.45
25-04-2025,96.53
24-04-2025,99.39
23-04-2025,99.45
22-04-2025,100.66
21-04-2025,99
17-04-2025,96.02
16-04-2025,94.7
15-04-2025,92.69
11-04-2025,90.54
09-04-2025,88.42
08-04-2025,89.43
07-04-2025,87.1
04-04-2025,90.39
03-04-2025,94.38
02-04-2025,91.1
01-04-2025,90
28-03-2025,89
27-03-2025,89.65
26-03-2025,87.24
25-03-2025,88.46
24-03-2025,91.32
21-03-2025,87.54
20-03-2025,85.84
19-03-2025,85.57
18-03-2025,83.92
17-03-2025,82.49
13-03-2025,82.9
12-03-2025,82.46
11-03-2025,83.28
10-03-2025,82.49
07-03-2025,85.02
06-03-2025,85.35
05-03-2025,85.02
04-03-2025,81.94
03-03-2025,81.42
28-02-2025,80.9
27-02-2025,83.46
25-02-2025,85.02
24-02-2025,86.95
21-02-2025,87.33
20-02-2025,88.06
19-02-2025,85.56
18-02-2025,84.65
17-02-2025,85.09
14-02-2025,85.62
13-02-2025,88.72
12-02-2025,90.54
11-02-2025,90.09
10-02-2025,93.17
07-02-2025,94.06
06-02-2025,94.86
05-02-2025,95.83
04-02-2025,92.84
03-02-2025,90.61
01-02-2025,92.62
31-01-2025,93.27
30-01-2025,90.91
29-01-2025,91.93
28-01-2025,91.82
27-01-2025,91.93
24-01-2025,96.75
23-01-2025,98.15
22-01-2025,97.82
21-01-2025,99.47
20-01-2025,101.04
17-01-2025,97.88
16-01-2025,97.33
15-01-2025,94.69
14-01-2025,93.22
13-01-2025,88.52
10-01-2025,92.83
09-01-2025,95.74
08-01-2025,97.14
07-01-2025,97.87
06-01-2025,97.33
03-01-2025,101.45
02-01-2025,101.1
01-01-2025,100.38
31-12-2024,100.12
30-12-2024,99.44
27-12-2024,100.36
26-12-2024,101.03
24-12-2024,100.55
23-12-2024,101.08
20-12-2024,99.61
19-12-2024,102.9
18-12-2024,103.19
17-12-2024,105.16
16-12-2024,107.34
13-12-2024,106.58
12-12-2024,107.5
11-12-2024,108.75
10-12-2024,109.68
09-12-2024,108.99
06-12-2024,109.32
05-12-2024,108.17
04-12-2024,108.63
03-12-2024,105.12
02-12-2024,101.71
29-11-2024,102.01
28-11-2024,102.9
27-11-2024,101.56
26-11-2024,101.79
25-11-2024,100.98
22-11-2024,97.01
21-11-2024,94.46
19-11-2024,97.81
18-11-2024,98.18
14-11-2024,97.49
13-11-2024,98.33
12-11-2024,101.5
11-11-2024,103.89
08-11-2024,103.69
07-11-2024,105.07
06-11-2024,105.25
05-11-2024,103.67
04-11-2024,101.91
01-11-2024,103.96
31-10-2024,102.65
30-10-2024,103.36
29-10-2024,103.76
28-10-2024,100.69
25-10-2024,94.24
24-10-2024,98.19
23-10-2024,97.69
22-10-2024,96.79
21-10-2024,102.86
18-10-2024,104.67
17-10-2024,102.5
16-10-2024,104.37
15-10-2024,104.43
14-10-2024,104.49
11-10-2024,104.06
10-10-2024,104.13
09-10-2024,104.4
08-10-2024,104.95
07-10-2024,103.49
04-10-2024,107.62
03-10-2024,107.96
01-10-2024,110.49
30-09-2024,111.33
27-09-2024,113.1
26-09-2024,110.17
25-09-2024,108.4
24-09-2024,109.29
23-09-2024,109.3
20-09-2024,104.96
19-09-2024,104.71
18-09-2024,105.45
17-09-2024,105.54
16-09-2024,106.69
13-09-2024,106.39
12-09-2024,103.99
11-09-2024,101.75
10-09-2024,103.61
09-09-2024,104.02
06-09-2024,103.38
05-09-2024,108.2
04-09-2024,108.6
03-09-2024,111.42
02-09-2024,112.77
