Date ,Close 
02-09-2025,684.4
01-09-2025,690.15
29-08-2025,669
28-08-2025,675.45
26-08-2025,681.65
25-08-2025,686.8
22-08-2025,680.3
21-08-2025,685.4
20-08-2025,689.6
19-08-2025,700.25
18-08-2025,676
14-08-2025,664.6
13-08-2025,663.75
12-08-2025,654.1
11-08-2025,653.75
08-08-2025,633.7
07-08-2025,646.5
06-08-2025,652.85
05-08-2025,654.6
04-08-2025,653.6
01-08-2025,648.85
31-07-2025,665.95
30-07-2025,668.45
29-07-2025,692.35
28-07-2025,682.9
25-07-2025,687.4
24-07-2025,700.5
23-07-2025,690.1
22-07-2025,673.4
21-07-2025,687.45
18-07-2025,680.25
17-07-2025,681.7
16-07-2025,679
15-07-2025,684.4
14-07-2025,674.5
11-07-2025,681.8
10-07-2025,695.6
09-07-2025,692.8
08-07-2025,693.2
07-07-2025,688.85
04-07-2025,689.05
03-07-2025,690.4
02-07-2025,688.55
01-07-2025,683.8
30-06-2025,688
27-06-2025,686.9
26-06-2025,682.75
25-06-2025,674.5
24-06-2025,673.65
23-06-2025,671.25
20-06-2025,676.2
19-06-2025,672.3
18-06-2025,670.25
17-06-2025,674.75
16-06-2025,686.65
13-06-2025,712.05
12-06-2025,715.35
11-06-2025,736.4
10-06-2025,732.25
09-06-2025,717.8
06-06-2025,711
05-06-2025,710.15
04-06-2025,709.15
03-06-2025,703.85
02-06-2025,711.6
30-05-2025,719.5
29-05-2025,724.45
28-05-2025,717.95
27-05-2025,716.45
26-05-2025,729
23-05-2025,718.25
22-05-2025,717.45
21-05-2025,726.8
20-05-2025,718.9
19-05-2025,729.5
16-05-2025,730.7
15-05-2025,728.1
14-05-2025,698.95
13-05-2025,707.7
12-05-2025,720.8
09-05-2025,708.5
08-05-2025,682.85
07-05-2025,680.3
06-05-2025,648.2
05-05-2025,661.55
02-05-2025,652
30-04-2025,644.25
29-04-2025,665.6
28-04-2025,668.15
25-04-2025,655.25
24-04-2025,668.35
23-04-2025,659.9
22-04-2025,630.85
21-04-2025,630.05
17-04-2025,621.55
16-04-2025,616.05
15-04-2025,622.2
11-04-2025,595.05
09-04-2025,582.9
08-04-2025,588.85
07-04-2025,579.75
04-04-2025,613.85
03-04-2025,653.95
02-04-2025,671.9
01-04-2025,671.85
28-03-2025,674.45
27-03-2025,668.55
26-03-2025,708.25
25-03-2025,710.3
24-03-2025,713.5
21-03-2025,702.95
20-03-2025,690.05
19-03-2025,682.25
18-03-2025,680.05
17-03-2025,661.05
13-03-2025,655.5
12-03-2025,668.3
11-03-2025,648.05
10-03-2025,648.15
07-03-2025,648.3
06-03-2025,639.65
05-03-2025,640.8
04-03-2025,619.2
03-03-2025,621.15
28-02-2025,620.65
27-02-2025,648.55
25-02-2025,661.6
24-02-2025,668.25
21-02-2025,673.2
20-02-2025,689.8
19-02-2025,681
18-02-2025,682.4
17-02-2025,686.6
14-02-2025,680.65
13-02-2025,683.85
12-02-2025,684.35
11-02-2025,677.75
10-02-2025,696
07-02-2025,706.75
06-02-2025,709.65
05-02-2025,717.05
04-02-2025,710.55
03-02-2025,687.45
01-02-2025,706.55
31-01-2025,716.1
30-01-2025,696.85
29-01-2025,752.5
28-01-2025,728.25
27-01-2025,713.05
24-01-2025,734.1
23-01-2025,752.5
22-01-2025,742.75
21-01-2025,760.75
20-01-2025,774.35
17-01-2025,779.75
16-01-2025,774.35
15-01-2025,763.6
14-01-2025,770.5
13-01-2025,751
10-01-2025,774.65
09-01-2025,780.1
08-01-2025,794.95
07-01-2025,793.25
06-01-2025,776.25
03-01-2025,790.4
02-01-2025,765.05
01-01-2025,749.25
31-12-2024,740.15
30-12-2024,733.65
27-12-2024,750.5
26-12-2024,740.8
24-12-2024,736.1
23-12-2024,722.2
20-12-2024,724.05
19-12-2024,744.05
18-12-2024,755.7
17-12-2024,779.75
16-12-2024,784.8
13-12-2024,790.3
12-12-2024,786.35
11-12-2024,799.1
10-12-2024,799.9
09-12-2024,798.75
06-12-2024,816.8
05-12-2024,792.55
04-12-2024,788.1
03-12-2024,801.25
02-12-2024,790.05
29-11-2024,786.45
28-11-2024,779.45
27-11-2024,783.95
26-11-2024,783
25-11-2024,796.6
22-11-2024,791
21-11-2024,773.85
19-11-2024,783.2
18-11-2024,771.9
14-11-2024,774.3
13-11-2024,786.25
12-11-2024,784.85
11-11-2024,804.7
08-11-2024,805.45
07-11-2024,819.75
06-11-2024,839.7
05-11-2024,835.65
04-11-2024,824.1
01-11-2024,843.45
31-10-2024,834.05
30-10-2024,840.2
29-10-2024,842.75
28-10-2024,878.45
25-10-2024,864.3
24-10-2024,880
23-10-2024,877.65
22-10-2024,879.5
21-10-2024,903.3
18-10-2024,910.15
17-10-2024,891.6
16-10-2024,907.45
15-10-2024,917.3
14-10-2024,928.25
11-10-2024,930.7
10-10-2024,928.5
09-10-2024,939.15
08-10-2024,919.8
07-10-2024,927.85
04-10-2024,930.75
03-10-2024,925.7
01-10-2024,965.2
30-09-2024,974.65
27-09-2024,993
26-09-2024,993.15
25-09-2024,963.6
24-09-2024,977.3
23-09-2024,971.8
20-09-2024,970.85
19-09-2024,967
18-09-2024,962.05
17-09-2024,974.95
16-09-2024,988.4
13-09-2024,992.1
12-09-2024,986.15
11-09-2024,976.3
10-09-2024,"1,035.80"
09-09-2024,"1,038.70"
06-09-2024,"1,049.35"
05-09-2024,"1,069.15"
04-09-2024,"1,080.45"
03-09-2024,"1,085.10"
02-09-2024,"1,092.65"
